tweet,date,account
"Trump sued over purge at NLRB, regulator targeted by SpaceX, Amazon and others",2025-02-05T23:42:39.000Z,@CNBC
Amazon announces hardware event for Feb. 26 as it races to release new Alexa,2025-02-05T19:55:00.000Z,@CNBC
Amazon to face legal action after Quebec warehouse closures trigger mass layoffs,2025-02-04T19:06:15.000Z,@CNBC
"Here are Monday's biggest analyst calls: Nvidia, Apple, Tesla, Roblox, Caterpillar, Uber, Zillow, Amazon & more",2025-02-03T13:32:45.000Z,@CNBC
"Earnings playbook: Your guide to the busiest week of the season, including reports from Alphabet and Amazon",2025-02-02T12:14:20.000Z,@CNBC
"Jim Cramer's week ahead: Earnings from Amazon, Alphabet, Eli Lilly, Palantir",2025-02-01T00:12:22.000Z,@CNBC
"$AMZN just announced earnings...

 EPS of $1.86, beating estimates of $1.48 
 Revenue of $187.8B, beating estimates of $187.2B
 Stock is DOWN 2.6%

Listen to the call LIVE on Stocktwits: https://stocktwits.com/symbol/AMZN/earningscall…",2025-02-06T21:08:09.000Z,@Stocktwits
"All eyes are on $AMZN earnings after the bell...

What does 
@StockSavvyShay
 think of it?

Watch the Daily Rip LIVE each day at 9:00 AM ET",2025-02-06T17:23:18.000Z,@Stocktwits
"Top 5 trending tickers on Stocktwits...

1. $PLTR +6.1% 
2. $TSLA -3.4%
3. $TDOC +9.5%
4. $QNTM +86.9%
5. $AMZN +0.2%",2025-02-06T16:48:21.000Z,@Stocktwits
Amazon projected weaker-than-expected sales for the first quarter and said it spent a record amount to build infrastructure for AI services,2025-02-06T22:00:04.000Z,@WSJ
Amazon is stumbling in its efforts to compete in the bricks-and-mortar world,2025-02-06T09:30:59.000Z,@WSJ
"Amazon is using math to help solve one of artificial intelligence’s most intractable problems: its tendency to make up answers, and to repeat them back to us with confidence",2025-02-06T07:35:23.000Z,@WSJ
"Amazon, the largest e-commerce retailer in the U.S., is stumbling in its efforts to compete in the bricks-and-mortar world",2025-02-04T12:52:56.000Z,@WSJ
"UPS’s detaching from Amazon triggered another slide in the package delivery giant’s battered stock, which is heavily owned by UPS lifers",2025-02-02T19:49:03.000Z,@WSJ
"Exclusive: In a major reversal, Amazon is ramping up ad spending on X after pulling much of its advertising more than a year ago",2025-02-01T04:52:34.000Z,@WSJ
The National Museum of Anthropology in Mexico City welcomed Brazilian photographer Sebastiao Salgado for his exhibition. It showcases 230 images capturing the Amazon forest's vastness and beauty,2025-02-07T14:00:03.000Z,@Reuters
"Overnight, Amazon's share price came under pressure after it revealed lower than expected revenue from its cloud computing division. AJ Bell's Russ Mould tells Reuters that investors still have ‘lingering doubts’ over the company's AI investment plans",2025-02-07T13:15:00.000Z,@Reuters
Amazon shares tumbled as much as 5% after the e-commerce titan reported numbers that didn’t go down well on Wall Street https://reut.rs/413FUum,2025-02-07T09:30:00.000Z,@Reuters
"The S&P 500 and the Nasdaq ended higher, while the Dow closed lower after a choppy trading session, as investors sifted through a spate of earnings, including Amazon https://reut.rs/40RlPGq",2025-02-07T04:40:00.000Z,@Reuters
