tweet,date,account
Amazon workers strike across seven facilities at peak of holiday shopping season,2024-12-19T19:24:11.000Z,@CNBC
Morgan Stanley names 7 beneficiaries of Amazon AWS’ new Trainium 2 AI chip,2024-12-15T23:22:35.000Z,@CNBC
Amazon and the endangered future of the middle manager,2024-12-15T14:14:04.000Z,@CNBC
"In Today's Daily Rip...

Wall Street ""Embraces The Bubble""

The market started the final full week of 2024 on a mixed note. The Nasdaq reached a record high, fueled by strong performance from Tesla, Broadcom, Apple, Amazon, and Google. Meanwhile, the Dow slipped into negative",2024-12-17T00:29:53.000Z,@Stocktwits
"Amazon union members at another U.S. facility voted to authorized a strike, becoming the third to do so in less than a week as tensions with the e-commerce giant expand across the country over contract negotiations",2024-12-16T23:30:28.000Z,@WSJ
Amazon union members at two New York City warehouses voted in favor of authorizing strikes amid rising tensions with the company over contract negotiations,2024-12-13T18:08:27.000Z,@WSJ
"The surge in wildcat gold mining in Brazil during former President Jair Bolsonaro's administration was unprecedented. Satellite images show there are some 80,000 such prospects in the Amazon rainforest, more than ever before https://reut.rs/4iPSapx",2024-12-15T17:20:05.000Z,@Reuters
"A 2022 study by non-profit watchdog Instituto Escolhas found that 52% of the gold exported from the Amazon was illegal, nearly all from protected Indigenous reservation lands or national conservation parks https://reut.rs/41BvXVM",2024-12-14T22:15:08.000Z,@Reuters
"Brazil’s former president Jair Bolsonaro weakened environmental controls in the Amazon. That triggered a new gold rush in Brazil, spurred by record prices driven up by geopolitical tension and central-bank purchases https://reut.rs/3BCgXfG",2024-12-14T18:15:07.000Z,@Reuters
"Harley Sandoval was arrested for illegally exporting gold from Brazil's Amazon. On paper, the gold was sourced from a legal prospect in the state of Tocantins. But police said not an ounce of gold has been mined there since colonial times https://reut.rs/4guUFLC",2024-12-14T14:15:06.000Z,@Reuters
"Amazon is donating $1 million to US President-elect Donald Trump's inaugural fund and the company will air the event on its Prime Video service, an Amazon spokesperson said",2024-12-13T04:00:05.000Z,@Reuters
"Amazon Ignored Warnings About Speed Quotas Causing Worker Injuries, Senate Panel Says
https://go.forbes.com/c/e222",2024-12-16T14:45:03.000Z,@Forbes
"Warren Buffett takes a slice of Domino’s. Ken Griffin, David Tepper and Steve Cohen are shedding Amazon shares. Here’s what SEC filings reveal about recent moves of the world’s richest and most successful investors. https://trib.al/JFsYxRI",2024-12-14T07:30:04.000Z,@Forbes
Amazon is reportedly planning to donate $1 million to President-elect Donald Trump’s inauguration fund as founder and billionaire Jeff Bezos follows in the footsteps of Meta CEO Mark Zuckerberg. https://trib.al/2db3uDr https://trib.al/2db3uDr,2024-12-13T14:48:23.000Z,@Forbes
"The Best Gifts On Amazon That’ll Arrive In Time For The Holidays
https://go.forbes.com/c/AdbF",2024-12-13T01:30:08.000Z,@Forbes
"Jeff Bezos’ Amazon Planning $1 Million Donation To Trump Inauguration—Matching Meta
https://go.forbes.com/c/BTZH",2024-12-13T00:15:06.000Z,@Forbes
No tweets found,N/A,RobinJPowell
"Thousands of Amazon workers at 7 U.S. warehouses walked off the job today, demanding better contract negotiations. The Teamsters, representing 10,000 workers, are calling this the ""largest"" strike against Amazon yet. 

While Amazon's stock is up 1.8%, they claim operations",2024-12-19T20:11:00.000Z,@Benzinga
"Stock targets:

- Amazon ($280) – Dominating e-commerce & cloud markets.
- Alphabet ($232) – Leading in AI & ad growth.
- Meta ($725) – All in on AI & the metaverse.
- Spotify ($555) – Profiting big from podcasts and streaming.

Ready to ride the wave of tech innovation? These",2024-12-19T19:36:05.000Z,@Benzinga
"A 30% boost in engineering efficiency for top players.
 Billions in AI revenue from AWS & Google Cloud.
 Meta & Google see a surge in ad and search growth thanks to smarter targeting.
 Big tech is spending BIG this year, with Amazon, Meta, and Alphabet all ramping up",2024-12-19T19:36:04.000Z,@Benzinga
"JPMorgan's 2025 outlook is shining bright for tech giants! 

Analyst Doug Anmuth predicts major growth for Amazon, Meta, Alphabet (Google), and Spotify, thanks to AI-driven innovation and huge investments in infrastructure. 

Why 2025? Here’s the scoop",2024-12-19T19:36:04.000Z,@Benzinga
$AMZN $AMZN:CA - Amazon Stock Is Too Expensive Amid Trainium3 Diversifying The AI Chip Market. https://seekingalpha.com/article/4745069-amazon-stock-is-too-expensive-amid-trainium3-diversifying-the-ai-chip-market?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #trading #economy #finance,2024-12-18T14:07:37.000Z,@SeekingAlpha
"$AMZN - Amazon: AWS May Be Formidable, But Not Invincible. https://seekingalpha.com/article/4744521-amazon-amzn-stock-aws-may-be-formidable-not-invincible?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #stocks #economy #stockmarket",2024-12-16T12:47:52.000Z,@SeekingAlpha
"Amazon will pay $145,000 in penalties as part of a settlement with federal workplace regulators regarding allegedly unsafe conditions at several of its US warehouse and logistics facilities",2024-12-19T20:25:00.000Z,@business
"After years of hit-and-miss labor activism at Amazon, the International Brotherhood of Teamsters has adopted a more direct tactic: calling for a nationwide strike six days before Christmas",2024-12-19T17:24:07.000Z,@business
Amazon won’t have enough space for thousands of employees when they start returning to the office five days a week next month,2024-12-18T16:43:58.000Z,@business
"Amazon rejected internal recommendations that the company relax warehouse worker productivity rates to curb injuries, according to a report from a congressional committee",2024-12-16T17:35:51.000Z,@business
"If Trump truly wants to help workers, he should drop his efforts to stymie automation on East Coast docks and back unions at Amazon warehouses, 
@tomwblack
 says https://trib.al/3uN3I8C via 
@opinion",2024-12-13T20:36:27.000Z,@business
"Jeff Bezos, a target of Donald Trump’s jabs during his first term, is expected to meet the President-elect next week. The Amazon founder will need the new administration’s help in the space race against Elon Musk",2024-12-13T13:08:39.000Z,@business
"RT Wall St is hurting the U.S. economy by inflating equity prices ahead of 
@realDonaldTrump
 taking office, pressuring the Fed for zero rates and imposing tariffs paid by Americans risks unprecedented inflation $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA",2024-12-17T13:29:07.000Z,@TradingGuru
"RT $TSLA current stock price exceeds its fair value by at least 14x, a significant premium $QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $NVDA $META $QCOM $INTC $CSCO $ORCL $MSTR $BTC",2024-12-17T02:04:01.000Z,@TradingGuru
"RT Wall St is harming the U.S. economy by driving up equity prices before 
@realDonaldTrump
 takes the office and starts influencing Fed pushing for zero-interest rates which will trigger UNPRECEDENTED INFLATION $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA",2024-12-16T14:33:27.000Z,@TradingGuru
"RT Bitcoin does not hold intrinsic MONETARY VALUE. It is tied to the electricity cost to solve mining algorithm. Current hype is attributed to 
@realDonaldTrump
 promotion for personal gains $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA $INTC $ORCL $BTC",2024-12-16T00:41:15.000Z,@TradingGuru
"RT Wall St is completely out of touch driving UNPRECEDENTED WEALTH by inflating stock prices of public corps, despite a glaring disconnect with P/E ratios, with no trickledown effect for the middle class $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA $BTC",2024-12-14T15:53:10.000Z,@TradingGuru
"RT 
@realDonaldTrump
 government is the most corrupt and kleptocratic in American history $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA $BTC",2024-12-14T00:07:04.000Z,@TradingGuru
"$AMZN $BABA - Alibaba as a value play? Trump, macro fears are called overblown for the e-commerce giant",2024-12-15T16:26:24.000Z,@MarketCurrents
$AAPL $GOOG $AMZN - Blue Whale Growth cuts stakes in some Magnificent Seven companies: report,2024-12-15T15:35:45.000Z,@MarketCurrents
$AMZN $MSFT $TSLA - OpenAI's Sam Altman will donate $1M to Trump’s inauguration,2024-12-14T22:50:37.000Z,@MarketCurrents
"$EBAY $AMZN $MCD - UnitedHealth down 15% amid grief, anger, and frustration after shooting",2024-12-14T21:14:58.000Z,@MarketCurrents
$AMZN $FDX $UPS - Trump considering privatizing US Postal Service: report,2024-12-14T18:04:12.000Z,@MarketCurrents
$AAPL $GOOG $AMZN - Tim Cook dines with Trump at Mar-a-Lago: report,2024-12-14T15:56:58.000Z,@MarketCurrents
$GOOG $AMZN $MSFT - Broadcom soars as Wall Street sees the possibilities of custom AI revenue ramp,2024-12-13T12:50:09.000Z,@MarketCurrents
"Asked Grok to relate 15 stocks to pro athletes.  Here's what it came up with.  Thoughts?

Apple=MJ
Amazon=Brady
Google=Lebron
JP Morgan=Tiger
NVIDIA=Simone Biles
Tesla=Conor McGregor

See the rest below:",2024-12-18T18:05:43.000Z,@bespokeinvest
Amazon of course!,2024-12-14T14:32:20.000Z,@alphatrends
"The first 2 episodes of MrBeast's ""Beast Games"" are now live on Amazon Prime Video $AMZN


@MrBeast
 is offering a $5M cash prize for the show the largest cash prize in game show history",2024-12-19T19:36:45.000Z,@StockMKTNewz
"Jeff Bezos currently owns 909,709,895 shares of Amazon $AMZN which is currently trading at $224.56 per share

That means Bezos' Amazon shares are worth $204,284,454,021.20 up from $77.3B at the start of last year",2024-12-19T17:57:27.000Z,@StockMKTNewz
"JPMorgan today raised its price target on $META to $725 up from $660 while maintaining its Overweight rating

JPMorgan raised its price target on Amazon $AMZN to $280 up from $250 while maintaining its Overweight rating

JPMorgan raised its price target on Google $GOOGL to $232",2024-12-18T13:31:11.000Z,@StockMKTNewz
"All these stocks hit new 52 WEEK HIGHS at some point today

Tesla $TSLA
Apple $AAPL
Amazon $AMZN
Google $GOOGL
Costco $COST
Visa $V
Broadcom $AVGO
Robinhood $HOOD
$SOFI
Marvell $MRVL
Affirm $AFRM
Arista $ANET
Amphenol $APH
Ciena $CIEN
Celestica $CLS
Deckers $DECK
Endeavor $EDR",2024-12-16T20:17:17.000Z,@StockMKTNewz
"Amazon Web Services $AMZN just announced plans to invest $10 Billion into Ohio in order to 

""help meet rapidly growing demand for cloud computing and AI""",2024-12-16T18:28:58.000Z,@StockMKTNewz
"Waymo dominated U.S. robotaxi market in 2024, but Tesla and Amazon's Zoox loom",2024-12-26T13:14:47.000Z,@CNBC
"From Amazon warehouse to port strikes, shippers and the DOT are preparing for an unpredictable 2025",2024-12-23T18:36:15.000Z,@CNBC
"Behind Amazon's quiet launch of Haul, which competes with Temu in ultra-low-price items from China",2024-12-22T13:12:30.000Z,@CNBC
"Most Watched Symbols of 2024...

 $TSLA Tesla
 $AAPL Apple
 $AMZN Amazon",2024-12-26T21:19:01.000Z,@Stocktwits
Shaken and stirred: James Bond is stuck in a tug-of-war between the family that controls 007 and his new overlords at Amazon,2024-12-24T22:34:20.000Z,@WSJ
"An ‘amphibious mouse’ with partially webbed feet that eats aquatic insects was among 27 new species discovered during a 2022 expedition to Peru's Amazon, according to Conservation International",2024-12-20T06:00:03.000Z,@Reuters
Striking Amazon workers say the retail giant treats employees unfairly https://reut.rs/4gmiQMU,2024-12-20T03:00:01.000Z,@Reuters
"Amazon workers at seven US facilities walked off the job during the holiday shopping rush, protesting what they say is the retail giant's unfair treatment of its employees https://reut.rs/4gmiQMU",2024-12-20T01:00:02.000Z,@Reuters
Amazon Security Warning As 3 High-Rated Vulnerabilities Hit Cloud,2024-12-26T14:18:17.000Z,@Forbes
