,stock,date,Negative_VADER,Neutral_VADER,Positive_VADER
127,amazon,2024-11-04,1.0,1.0,1.0
128,amazon,2024-11-05,4.0,0.0,5.0
129,amazon,2024-11-06,2.0,2.0,9.0
130,amazon,2024-11-07,0.0,1.0,5.0
131,amazon,2024-11-08,0.0,1.0,1.0
132,amazon,2024-11-11,0.0,1.0,3.0
133,amazon,2024-11-12,0.0,0.0,7.0
134,amazon,2024-11-13,0.0,1.0,3.0
135,amazon,2024-11-14,0.0,0.0,4.0
136,amazon,2024-11-15,0.0,0.0,3.0
137,amazon,2024-11-16,0.0,0.0,1.0
138,amazon,2024-11-17,1.0,0.0,1.0
139,amazon,2024-11-18,1.0,1.0,4.0
140,amazon,2024-11-19,1.0,2.0,1.0
141,amazon,2024-11-20,2.0,0.0,3.0
142,amazon,2024-11-21,0.0,1.0,3.0
143,amazon,2024-11-22,0.0,0.0,1.0
144,amazon,2024-11-24,1.0,1.0,2.0
145,amazon,2024-11-25,0.0,0.0,2.0
146,amazon,2024-11-26,0.0,2.0,3.0
147,amazon,2024-11-27,0.0,2.0,5.0
148,amazon,2024-11-28,3.0,1.0,5.0
149,amazon,2024-11-29,1.0,0.0,2.0
150,amazon,2024-12-01,0.0,0.0,2.0
151,amazon,2024-12-02,0.0,1.0,0.0
152,amazon,2024-12-03,0.0,0.0,3.0
153,amazon,2024-12-04,0.0,0.0,3.0
154,amazon,2024-12-07,0.0,0.0,1.0
155,amazon,2024-12-08,1.0,0.0,1.0
156,amazon,2024-12-09,1.0,1.0,5.0
157,amazon,2024-12-10,0.0,1.0,7.0
158,amazon,2024-12-11,0.0,0.0,4.0
159,amazon,2024-12-12,0.0,1.0,5.0
160,amazon,2024-12-13,0.0,0.0,3.0
161,amazon,2024-12-14,0.0,1.0,7.0
162,amazon,2024-12-15,2.0,5.0,4.0
163,amazon,2024-12-16,0.0,0.0,5.0
164,amazon,2024-12-17,3.0,1.0,4.0
165,amazon,2024-12-18,1.0,0.0,2.0
166,amazon,2024-12-19,1.0,1.0,2.0
167,amazon,2024-12-20,1.0,0.0,8.0
168,amazon,2024-12-22,2.0,0.0,3.0
169,amazon,2024-12-23,0.0,0.0,1.0
170,amazon,2024-12-24,1.0,0.0,1.0
171,amazon,2024-12-26,1.0,1.0,0.0
172,amazon,2024-12-27,2.0,0.0,1.0
173,amazon,2024-12-28,0.0,0.0,5.0
174,amazon,2024-12-29,0.0,1.0,1.0
175,amazon,2024-12-31,1.0,0.0,0.0
176,amazon,2025-01-01,0.0,0.0,1.0
177,amazon,2025-01-02,0.0,0.0,2.0
178,amazon,2025-01-03,1.0,0.0,3.0
179,amazon,2025-01-04,2.0,0.0,0.0
180,amazon,2025-01-05,1.0,1.0,0.0
181,amazon,2025-01-06,0.0,0.0,4.0
182,amazon,2025-01-07,1.0,0.0,5.0
183,amazon,2025-01-08,0.0,0.0,6.0
184,amazon,2025-01-09,0.0,0.0,6.0
185,amazon,2025-01-10,0.0,0.0,4.0
186,amazon,2025-01-11,0.0,0.0,2.0
187,amazon,2025-01-13,0.0,1.0,0.0
188,amazon,2025-01-14,1.0,0.0,1.0
189,amazon,2025-01-17,0.0,0.0,2.0
190,amazon,2025-01-18,1.0,1.0,12.0
191,amazon,2025-01-19,2.0,0.0,3.0
192,amazon,2025-01-20,0.0,0.0,2.0
193,amazon,2025-01-21,0.0,1.0,3.0
194,amazon,2025-01-22,5.0,0.0,2.0
195,amazon,2025-01-23,0.0,2.0,0.0
196,amazon,2025-01-27,0.0,0.0,1.0
197,amazon,2025-01-28,0.0,0.0,3.0
198,amazon,2025-01-29,0.0,1.0,1.0
199,amazon,2025-01-31,0.0,0.0,1.0
200,amazon,2025-02-01,1.0,1.0,7.0
201,amazon,2025-02-02,2.0,0.0,3.0
202,amazon,2025-02-03,3.0,1.0,3.0
203,amazon,2025-02-04,1.0,0.0,2.0
204,amazon,2025-02-05,2.0,1.0,5.0
205,amazon,2025-02-06,2.0,0.0,7.0
206,amazon,2025-02-07,1.0,3.0,7.0
207,amazon,2025-02-08,2.0,0.0,9.0
208,amazon,2025-02-09,0.0,0.0,1.0
209,amazon,2025-02-13,0.0,1.0,1.0
210,amazon,2025-02-15,0.0,0.0,1.0
211,amazon,2025-02-16,8.0,0.0,2.0
212,amazon,2025-02-17,0.0,0.0,2.0
213,amazon,2025-02-18,2.0,0.0,3.0
214,amazon,2025-02-19,1.0,0.0,5.0
215,amazon,2025-02-20,0.0,0.0,1.0
216,amazon,2025-02-21,0.0,0.0,7.0
217,amazon,2025-02-25,0.0,0.0,3.0
218,amazon,2025-02-26,0.0,0.0,1.0
219,amazon,2025-02-27,0.0,0.0,1.0
220,amazon,2025-02-28,0.0,0.0,2.0
221,amazon,2025-03-01,0.0,0.0,1.0
222,amazon,2025-03-02,0.0,0.0,1.0
223,amazon,2025-03-03,0.0,0.0,1.0
224,amazon,2025-03-04,1.0,0.0,5.0
225,amazon,2025-03-05,5.0,0.0,6.0
226,amazon,2025-03-06,0.0,0.0,5.0
